2014-05-27 22:40:46,304 [DEBUG] django.db.backends: (0.106) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'dn3bdozui2d0rwxvwwje0e0obr6u4ul1'  AND `django_session`.`expire_date` > '2014-05-27 22:40:45' ); args=('dn3bdozui2d0rwxvwwje0e0obr6u4ul1', u'2014-05-27 22:40:45')
2014-05-27 22:40:46,344 [DEBUG] django.db.backends: (0.000) SELECT COUNT(*) FROM `article_article`; args=()
2014-05-27 22:41:06,059 [DEBUG] django.db.backends: (0.086) INSERT INTO `article_article` (`title`, `body`, `pub_date`, `likes`, `thumbnail`) VALUES ('Test 1', 'dfsdfsdfsdf', '2014-05-22 00:00:00', 0, 'uploaded_files/1401230465_96_1.jpg'); args=[u'Test 1', u'dfsdfsdfsdf', u'2014-05-22 00:00:00', 0, u'uploaded_files/1401230465_96_1.jpg']
2014-05-27 22:41:06,129 [DEBUG] django.db.backends: (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'dn3bdozui2d0rwxvwwje0e0obr6u4ul1'  AND `django_session`.`expire_date` > '2014-05-27 22:41:06' ); args=('dn3bdozui2d0rwxvwwje0e0obr6u4ul1', u'2014-05-27 22:41:06')
2014-05-27 22:41:06,155 [DEBUG] django.db.backends: (0.000) SELECT COUNT(*) FROM `article_article`; args=()
2014-05-27 22:41:06,159 [DEBUG] django.db.backends: (0.004) SELECT `article_article`.`id`, `article_article`.`title`, `article_article`.`body`, `article_article`.`pub_date`, `article_article`.`likes`, `article_article`.`thumbnail` FROM `article_article`; args=()
2014-05-27 22:41:40,581 [DEBUG] django.db.backends: (0.023) INSERT INTO `article_article` (`title`, `body`, `pub_date`, `likes`, `thumbnail`) VALUES ('Test 2', 'erwerwer', '2014-05-22 00:00:00', 0, 'uploaded_files/1401230500_56_1.jpg'); args=[u'Test 2', u'erwerwer', u'2014-05-22 00:00:00', 0, u'uploaded_files/1401230500_56_1.jpg']
2014-05-27 22:41:40,670 [DEBUG] django.db.backends: (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'dn3bdozui2d0rwxvwwje0e0obr6u4ul1'  AND `django_session`.`expire_date` > '2014-05-27 22:41:40' ); args=('dn3bdozui2d0rwxvwwje0e0obr6u4ul1', u'2014-05-27 22:41:40')
2014-05-27 22:41:40,681 [DEBUG] django.db.backends: (0.002) SELECT COUNT(*) FROM `article_article`; args=()
2014-05-27 22:41:40,684 [DEBUG] django.db.backends: (0.002) SELECT `article_article`.`id`, `article_article`.`title`, `article_article`.`body`, `article_article`.`pub_date`, `article_article`.`likes`, `article_article`.`thumbnail` FROM `article_article`; args=()
2014-05-27 22:43:00,445 [DEBUG] django.db.backends: (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'dn3bdozui2d0rwxvwwje0e0obr6u4ul1'  AND `django_session`.`expire_date` > '2014-05-27 22:43:00' ); args=('dn3bdozui2d0rwxvwwje0e0obr6u4ul1', u'2014-05-27 22:43:00')
2014-05-27 22:43:00,468 [DEBUG] django.db.backends: (0.000) SELECT COUNT(*) FROM `article_article`; args=()
2014-05-27 22:43:00,469 [DEBUG] django.db.backends: (0.000) SELECT `article_article`.`id`, `article_article`.`title`, `article_article`.`body`, `article_article`.`pub_date`, `article_article`.`likes`, `article_article`.`thumbnail` FROM `article_article`; args=()
2014-05-27 22:43:02,974 [DEBUG] django.db.backends: (0.041) SELECT COUNT(*) FROM `article_article` WHERE `article_article`.`title` LIKE BINARY '%1%' ; args=(u'%1%',)
2014-05-27 22:43:02,978 [DEBUG] django.db.backends: (0.001) SELECT `article_article`.`id`, `article_article`.`title`, `article_article`.`body`, `article_article`.`pub_date`, `article_article`.`likes`, `article_article`.`thumbnail` FROM `article_article` WHERE `article_article`.`title` LIKE BINARY '%1%' ; args=(u'%1%',)
2014-05-27 22:43:04,504 [DEBUG] django.db.backends: (0.000) SELECT COUNT(*) FROM `article_article` WHERE `article_article`.`title` LIKE BINARY '%%' ; args=(u'%%',)
2014-05-27 22:43:04,505 [DEBUG] django.db.backends: (0.001) SELECT `article_article`.`id`, `article_article`.`title`, `article_article`.`body`, `article_article`.`pub_date`, `article_article`.`likes`, `article_article`.`thumbnail` FROM `article_article` WHERE `article_article`.`title` LIKE BINARY '%%' ; args=(u'%%',)
2014-05-27 22:43:04,859 [DEBUG] django.db.backends: (0.001) SELECT COUNT(*) FROM `article_article` WHERE `article_article`.`title` LIKE BINARY '%2%' ; args=(u'%2%',)
2014-05-27 22:43:04,863 [DEBUG] django.db.backends: (0.001) SELECT `article_article`.`id`, `article_article`.`title`, `article_article`.`body`, `article_article`.`pub_date`, `article_article`.`likes`, `article_article`.`thumbnail` FROM `article_article` WHERE `article_article`.`title` LIKE BINARY '%2%' ; args=(u'%2%',)
2014-05-27 22:43:06,098 [DEBUG] django.db.backends: (0.000) SELECT COUNT(*) FROM `article_article` WHERE `article_article`.`title` LIKE BINARY '%%' ; args=(u'%%',)
2014-05-27 22:43:06,099 [DEBUG] django.db.backends: (0.000) SELECT `article_article`.`id`, `article_article`.`title`, `article_article`.`body`, `article_article`.`pub_date`, `article_article`.`likes`, `article_article`.`thumbnail` FROM `article_article` WHERE `article_article`.`title` LIKE BINARY '%%' ; args=(u'%%',)
2014-05-27 23:37:45,450 [DEBUG] django.db.backends: (0.002) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'dn3bdozui2d0rwxvwwje0e0obr6u4ul1'  AND `django_session`.`expire_date` > '2014-05-27 23:37:45' ); args=('dn3bdozui2d0rwxvwwje0e0obr6u4ul1', u'2014-05-27 23:37:45')
2014-05-27 23:37:45,508 [DEBUG] django.db.backends: (0.003) SELECT COUNT(*) FROM `article_article`; args=()
2014-05-27 23:37:45,512 [DEBUG] django.db.backends: (0.001) SELECT `article_article`.`id`, `article_article`.`title`, `article_article`.`body`, `article_article`.`pub_date`, `article_article`.`likes`, `article_article`.`thumbnail` FROM `article_article`; args=()
2014-05-27 23:37:49,655 [DEBUG] django.db.backends: (0.000) SELECT COUNT(*) FROM `article_article` WHERE `article_article`.`title` LIKE BINARY '%t%' ; args=(u'%t%',)
2014-05-27 23:37:49,656 [DEBUG] django.db.backends: (0.000) SELECT `article_article`.`id`, `article_article`.`title`, `article_article`.`body`, `article_article`.`pub_date`, `article_article`.`likes`, `article_article`.`thumbnail` FROM `article_article` WHERE `article_article`.`title` LIKE BINARY '%t%' ; args=(u'%t%',)
2014-05-27 23:37:52,241 [DEBUG] django.db.backends: (0.001) SELECT COUNT(*) FROM `article_article` WHERE `article_article`.`title` LIKE BINARY '%%' ; args=(u'%%',)
2014-05-27 23:37:52,244 [DEBUG] django.db.backends: (0.001) SELECT `article_article`.`id`, `article_article`.`title`, `article_article`.`body`, `article_article`.`pub_date`, `article_article`.`likes`, `article_article`.`thumbnail` FROM `article_article` WHERE `article_article`.`title` LIKE BINARY '%%' ; args=(u'%%',)
2014-05-27 23:37:52,652 [DEBUG] django.db.backends: (0.001) SELECT COUNT(*) FROM `article_article` WHERE `article_article`.`title` LIKE BINARY '%1%' ; args=(u'%1%',)
2014-05-27 23:37:52,655 [DEBUG] django.db.backends: (0.001) SELECT `article_article`.`id`, `article_article`.`title`, `article_article`.`body`, `article_article`.`pub_date`, `article_article`.`likes`, `article_article`.`thumbnail` FROM `article_article` WHERE `article_article`.`title` LIKE BINARY '%1%' ; args=(u'%1%',)
2014-05-27 23:37:54,215 [DEBUG] django.db.backends: (0.000) SELECT COUNT(*) FROM `article_article` WHERE `article_article`.`title` LIKE BINARY '%%' ; args=(u'%%',)
2014-05-27 23:37:54,217 [DEBUG] django.db.backends: (0.000) SELECT `article_article`.`id`, `article_article`.`title`, `article_article`.`body`, `article_article`.`pub_date`, `article_article`.`likes`, `article_article`.`thumbnail` FROM `article_article` WHERE `article_article`.`title` LIKE BINARY '%%' ; args=(u'%%',)
2014-05-27 23:37:54,484 [DEBUG] django.db.backends: (0.000) SELECT COUNT(*) FROM `article_article` WHERE `article_article`.`title` LIKE BINARY '%2%' ; args=(u'%2%',)
2014-05-27 23:37:54,485 [DEBUG] django.db.backends: (0.001) SELECT `article_article`.`id`, `article_article`.`title`, `article_article`.`body`, `article_article`.`pub_date`, `article_article`.`likes`, `article_article`.`thumbnail` FROM `article_article` WHERE `article_article`.`title` LIKE BINARY '%2%' ; args=(u'%2%',)
2014-05-27 23:37:57,357 [DEBUG] django.db.backends: (0.001) SELECT COUNT(*) FROM `article_article` WHERE `article_article`.`title` LIKE BINARY '%%' ; args=(u'%%',)
2014-05-27 23:37:57,359 [DEBUG] django.db.backends: (0.000) SELECT `article_article`.`id`, `article_article`.`title`, `article_article`.`body`, `article_article`.`pub_date`, `article_article`.`likes`, `article_article`.`thumbnail` FROM `article_article` WHERE `article_article`.`title` LIKE BINARY '%%' ; args=(u'%%',)
2014-05-27 23:38:09,086 [DEBUG] django.db.backends: (0.000) SELECT `article_article`.`id`, `article_article`.`title`, `article_article`.`body`, `article_article`.`pub_date`, `article_article`.`likes`, `article_article`.`thumbnail` FROM `article_article` WHERE `article_article`.`id` = 1 ; args=(1,)
2014-05-27 23:38:09,105 [DEBUG] django.db.backends: (0.000) SELECT `article_comment`.`id`, `article_comment`.`first_name`, `article_comment`.`second_name`, `article_comment`.`body`, `article_comment`.`pub_date`, `article_comment`.`likes`, `article_comment`.`article_id` FROM `article_comment` WHERE `article_comment`.`article_id` = 1 ; args=(1,)
